,restaurant,lat,lon,address,price($),tag,star,description,tokens,dominant_topic,topic_id,consumer_type,consumer_scene
46,The Musket Room,40.723915,-73.99375,"265 Elizabeth St., New York, 10012, USA",4,"Contemporary, American",1,"Sleek glass-framed doors are a noticeable reprieve from the bustling stretch upon which The Musket Room is set. Inside, the space is rustic and cozy—think Danish-style chairs, industrial lighting, and midcentury modern furniture.","['sleek', 'glassfram', 'door', 'notic', 'repriev', 'bustl', 'stretch', 'upon', 'which', 'musket', 'room', 'set', 'insid', 'space', 'rustic', 'cozythink', 'danishstyl', 'chair', 'industri', 'light', 'midcenturi', 'furnitur']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
47,Estela,40.72471,-73.9948,"47 E. Houston St., New York, 10012, USA",4,"Contemporary, American",1,"This boisterous SoHo alcove is an ideal place to convene with friends over exquisite nibbles and quenching cocktails. The talented chef behind this operation, Ignacio Mattos, is unfaltering and impressively consistent in his creative renditions of such bold and iconic dishes as ricotta dumplings with mushrooms and Pecorino Sardo. The menu also offers an array of shareable plates that changes regularly, like the mound of warm crab cloaked by shaved celeriac. Dinner might kick off with perfect, sashimi-grade tuna pounded thin and dressed with a dollop of inky pil pil sauce or enticingly plated fried arroz negro scattered with tender squid and hazelnut-studded romesco.","['boister', 'soho', 'alcov', 'ideal', 'place', 'conven', 'friend', 'over', 'exquisit', 'nibbl', 'quench', 'cocktail', 'talent', 'chef', 'behind', 'oper', 'ignacio', 'matto', 'unfalt', 'impress', 'consist', 'hi', 'rendit', 'bold', 'icon', 'dish', 'ricotta', 'dumpl', 'mushroom', 'pecorino', 'sardo', 'menu', 'offer', 'array', 'shareabl', 'plate', 'chang', 'regularli', 'like', 'mound', 'warm', 'crab', 'cloak', 'shave', 'celeriac', 'dinner', 'might', 'kick', 'off', 'sashimigrad', 'tuna', 'pound', 'thin', 'dress', 'dollop', 'inki', 'pil', 'pil', 'sauc', 'enticingli', 'plate', 'fri', 'arroz', 'negro', 'scatter', 'tender', 'squid', 'hazelnutstud', 'romesco']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
48,Torien,40.724706,-73.993269,"292 Elizabeth St., New York, 10012, USA",4,"Japanese, Yakitori",1,"This sibling to Torishiki in Tokyo arrives to NYC by way of NoHo. Blacked-out windows mark its entrance; diners are then buzzed in at street level, both of which add to the mysterious proceedings. A staff member then pulls back a curtain—et voila—you're here. Inside, Executive Chef Hideo An may be found working his skills like a master pianist—turning, fanning, saucing and brushing. It's a pristine workspace and the menu is a tribute to the yakitori tradition. Binchotan charcoal plays as vital a role as the fowl itself, with the aroma becoming one with the space and skewer.","['sibl', 'torishiki', 'tokyo', 'arriv', 'nyc', 'way', 'noho', 'blackedout', 'window', 'mark', 'entranc', 'diner', 'then', 'buzz', 'street', 'level', 'both', 'which', 'add', 'mysteri', 'proceed', 'staff', 'member', 'then', 'pull', 'back', 'curtainet', 'voilayour', 'here', 'insid', 'execut', 'chef', 'hideo', 'may', 'found', 'work', 'hi', 'skill', 'like', 'master', 'pianistturn', 'fan', 'sauc', 'brush', 'pristin', 'workspac', 'menu', 'tribut', 'yakitori', 'tradit', 'binchotan', 'charcoal', 'play', 'vital', 'role', 'fowl', 'itself', 'aroma', 'becom', 'one', 'space', 'skewer']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
49,Yoshino,40.726283,-73.992039,"342 Bowery, New York, 10012, USA",4,"Japanese, Sushi",1,"Revered Tokyo chef Tadashi “Edowan” Yoshida has taken NYC by storm, as his latest venture was received with pomp, glory and of course, sold-out seats. Named for the town in Nara Prefecture where his father hails, there is a precise quality to every facet of this space—as in the hinoki counter (sourced from a 300-year-old tree) and hand-made chairs to the knives crafted by a master from Saga Prefecture.","['rever', 'tokyo', 'chef', 'tadashi', 'edowan', 'yoshida', 'taken', 'nyc', 'storm', 'hi', 'latest', 'ventur', 'receiv', 'pomp', 'glori', 'cours', 'soldout', 'seat', 'name', 'town', 'nara', 'prefectur', 'where', 'hi', 'father', 'hail', 'there', 'precis', 'everi', 'facet', 'spacea', 'hinoki', 'counter', 'sourc', 'yearold', 'tree', 'handmad', 'chair', 'knive', 'craft', 'master', 'saga', 'prefectur']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
50,63 Clinton,40.719483,-73.984993,"63 Clinton St., New York, 10002, USA",4,Contemporary,1,"It would be easy to underestimate this restaurant, located on an unremarkable corner and within the shell of a former pizzeria. However, that would be a shame, as the tasting menu, under the calm leadership of Chef Samuel Clonts, is anything but ordinary. In fact, diners can expect a wonderful and surprising meal with an eye towards finesse.","['would', 'easi', 'underestim', 'restaur', 'locat', 'unremark', 'corner', 'within', 'shell', 'former', 'pizzeria', 'howev', 'would', 'shame', 'tast', 'menu', 'under', 'calm', 'leadership', 'chef', 'samuel', 'clont', 'anyth', 'but', 'ordinari', 'fact', 'diner', 'can', 'expect', 'surpris', 'meal', 'eye', 'toward', 'finess']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
51,Sushi Nakazawa,40.731716,-74.00451,"23 Commerce St., New York, 10014, USA",4,"Japanese, Sushi",1,"For a truly memorable sushi adventure, head to this sleek and contemporary ten-seat counter to discover flavorful and fatty cuts of fish, available at a more palatable price point compared to many of the city’s other notable sushi counters. Chef Daisuke Nakazawa’s signature style combines supremely tender fish with perfectly seasoned rice, a spark of wasabi and judicious brush of nikiri for consistently excellent results.","['truli', 'sushi', 'adventur', 'head', 'sleek', 'contemporari', 'tenseat', 'counter', 'discov', 'flavor', 'fatti', 'cut', 'fish', 'avail', 'more', 'palat', 'price', 'point', 'compar', 'mani', 'citi', 'other', 'notabl', 'sushi', 'counter', 'chef', 'daisuk', 'nakazawa', 'signatur', 'style', 'combin', 'suprem', 'tender', 'fish', 'perfectli', 'season', 'rice', 'spark', 'wasabi', 'judici', 'brush', 'nikiri', 'consist', 'result']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
52,Family Meal at Blue Hill,40.731971,-73.999639,"75 Washington Pl., New York, 10011, USA",4,American,1,"Knowing when to leave something alone, whether you’re a painter, singer or cook, requires confidence in your material and your own ability. Dan Barber’s New York City outpost displays its utter trust in the products at hand by not interfering with them too much but also by giving them space to let their natural flavors shine.","['know', 'when', 'leav', 'someth', 'alon', 'whether', 'your', 'painter', 'singer', 'cook', 'requir', 'confid', 'materi', 'own', 'abil', 'dan', 'barber', 'new', 'york', 'citi', 'outpost', 'display', 'utter', 'trust', 'product', 'hand', 'not', 'interf', 'them', 'too', 'much', 'but', 'give', 'them', 'space', 'let', 'natur', 'flavor', 'shine']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
53,Jeju Noodle Bar,40.732952,-74.00744,"679 Greenwich St., New York, 10014, USA",3,Korean,1,"Settle in to your perch at one of the tables, or (preferably) at the engaging counter where you can watch each dish come together. If that doesn't have your taste buds tingling, the kitchen's concise number of unique items at a steal of a price will hit the spot. Persian cucumber kimchi with a spicy plum dressing, shiso and sesame seeds is a delight, while the aroma of pork bone broth that precedes the arrival of gochu ramyun brimming with curly noodles, bean sprouts and pickled cabbage is a veritable thesis on ace ingredients. Pyunche salad mingling sushi-grade amberjack is a simple yet delicious wonder. Not far behind is the surprising toro ssam bap, highlighting the eponymous fatty fish with scrambled egg, tobiko and toasted seaweed.","['settl', 'perch', 'one', 'tabl', 'prefer', 'engag', 'counter', 'where', 'can', 'watch', 'each', 'dish', 'come', 'togeth', 'doesnt', 'tast', 'bud', 'tingl', 'kitchen', 'concis', 'number', 'item', 'steal', 'price', 'will', 'hit', 'spot', 'persian', 'cucumb', 'kimchi', 'spici', 'plum', 'dress', 'shiso', 'sesam', 'seed', 'delight', 'while', 'aroma', 'pork', 'bone', 'broth', 'preced', 'arriv', 'gochu', 'ramyun', 'brim', 'curli', 'noodl', 'bean', 'sprout', 'pickl', 'cabbag', 'verit', 'thesi', 'ace', 'ingredi', 'pyunch', 'salad', 'mingl', 'sushigrad', 'amberjack', 'simpl', 'yet', 'wonder', 'not', 'far', 'behind', 'surpris', 'toro', 'ssam', 'bap', 'highlight', 'eponym', 'fatti', 'fish', 'scrambl', 'egg', 'tobiko', 'toast', 'seawe']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
54,Red Paper Clip,40.733169,-74.005433,"120 Christopher St., New York, 10014, USA",4,Contemporary,1,"Blue Hill at Stone Barns alum Chef Kevin Chen made a name for himself with a series of pop-ups before establishing this stylish Asian-leaning delight. It's nestled inside a narrow storefront, but look for the large red paper clip—it's the only sign you've arrived. Inside, the space is left simple to focus all attention on the inventive food.","['blue', 'hill', 'stone', 'barn', 'alum', 'chef', 'kevin', 'chen', 'made', 'name', 'himself', 'seri', 'popup', 'befor', 'establish', 'asianlean', 'delight', 'nestl', 'insid', 'narrow', 'storefront', 'but', 'look', 'larg', 'red', 'paper', 'clipit', 'onli', 'sign', 'youv', 'arriv', 'insid', 'space', 'left', 'simpl', 'focu', 'attent', 'invent', 'food']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
55,Clover Hill,40.693381,-73.998577,"20 Columbia Pl., Brooklyn, 11201, USA",4,"Contemporary, Latin American",1,"Squirreled away on a quiet street in Brooklyn Heights, this intimate restaurant is a charming box of elegance and comfort. Under the leadership of Chef Sam Rogers, this tiny but mighty kitchen now enters a new chapter. He and his team are a focused bunch, working in perfect sync to deliver an abundance of courses that draw inspiration from Latin America. Little tarts stacked with poblano peppers and guanciale give way to a single boiled potato coated in a Huancaína-inspired sauce flecked with caviar. Find spice and smoke deployed across a range of local fish and American wagyu, with one highlight being a grilled, dry-aged sirloin paired with a stunning cabbage puree. Service matches the setting, quiet and calm in all the right ways.","['squirrel', 'away', 'quiet', 'street', 'brooklyn', 'height', 'intim', 'restaur', 'box', 'eleg', 'comfort', 'under', 'leadership', 'chef', 'sam', 'roger', 'tini', 'but', 'mighti', 'kitchen', 'now', 'enter', 'new', 'chapter', 'hi', 'team', 'focus', 'bunch', 'work', 'sync', 'deliv', 'abund', 'cours', 'draw', 'inspir', 'latin', 'america', 'littl', 'tart', 'stack', 'poblano', 'pepper', 'guancial', 'give', 'way', 'singl', 'boil', 'potato', 'coat', 'huancanainspir', 'sauc', 'fleck', 'caviar', 'find', 'spice', 'smoke', 'deploy', 'across', 'rang', 'fish', 'american', 'wagyu', 'one', 'highlight', 'be', 'grill', 'dryag', 'sirloin', 'pair', 'stun', 'cabbag', 'pure', 'servic', 'match', 'set', 'quiet', 'calm', 'right', 'way']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
56,Frevo,40.733199,-73.998822,"48 W. 8th St., New York, 10011, USA",4,Contemporary,1,"Frevo is that rare restaurant that flies just under the radar but deserves to be in the spotlight, as Chef Franco Sampogna and his team have serious resumes. It's a tasting menu-only spot that doubles as a gallery; in fact, even the entrance is as artistic as the canvases lining its walls. There are just 18 counter seats and a table for six here where the crew plates contemporary French dishes. Sea scallops seared a la plancha and plated with a saffron sauce dotted with Amaretto is a clever play on flavors. Madai grilled over binchotan gives the dense, silken fish a gorgeously crisped skin, while thinly shaved Comte cheese, aged 36-months, is paired with honey ice cream for a delightful contrast of savory and sweet.","['frevo', 'rare', 'restaur', 'fli', 'under', 'radar', 'but', 'deserv', 'spotlight', 'chef', 'franco', 'sampogna', 'hi', 'team', 'seriou', 'resum', 'tast', 'menuonli', 'spot', 'doubl', 'galleri', 'fact', 'even', 'entranc', 'artist', 'canvas', 'line', 'wall', 'there', 'counter', 'seat', 'tabl', 'six', 'here', 'where', 'crew', 'plate', 'contemporari', 'french', 'dish', 'sea', 'scallop', 'sear', 'plancha', 'plate', 'saffron', 'sauc', 'dot', 'amaretto', 'clever', 'play', 'flavor', 'madai', 'grill', 'over', 'binchotan', 'give', 'dens', 'silken', 'fish', 'gorgeous', 'crisp', 'skin', 'while', 'thinli', 'shave', 'comt', 'chees', 'age', 'month', 'pair', 'honey', 'ice', 'cream', 'delight', 'contrast', 'savori', 'sweet']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
57,Shmoné,40.73329,-73.998603,"61 W. 8th St., New York, 10011, USA",4,"Israeli, Middle Eastern",1,"This small, sleek space punches way above its weight with dazzling neo-Levantine cuisine. Many kitchens boast about using fresh ingredients, but Shmoné takes that philosophy to another level, creating a new menu daily (though some items stick around). The cooking relies on the grill all the way through to dessert, where grilled figs atop Chantilly cream have made an appearance. Dishes aren't repeated but they're certainly memorable, as in thin slices of hamachi or flatiron Wagyu slid off a skewer tableside and boasting smoky tenderness. The flavors are impressively dialed in and make for a focused meal that is surprisingly approachable and humble.","['small', 'sleek', 'space', 'punch', 'way', 'abov', 'weight', 'dazzl', 'neolevantin', 'cuisin', 'mani', 'kitchen', 'boast', 'about', 'use', 'ingredi', 'but', 'shmon', 'take', 'philosophi', 'anoth', 'level', 'creat', 'new', 'menu', 'daili', 'though', 'some', 'item', 'stick', 'around', 'cook', 'reli', 'grill', 'way', 'through', 'dessert', 'where', 'grill', 'fig', 'atop', 'chantilli', 'cream', 'made', 'appear', 'dish', 'arent', 'repeat', 'but', 'theyr', 'certainli', 'thin', 'slice', 'hamachi', 'flatiron', 'wagyu', 'slid', 'off', 'skewer', 'tablesid', 'boast', 'smoki', 'tender', 'flavor', 'impress', 'dial', 'make', 'focus', 'meal', 'surprisingli', 'approach', 'humbl']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
58,Tuome,40.724194,-73.9828,"536 E. 5th St., New York, 10009, USA",3,"Fusion, Asian, Contemporary",1,"Classically trained Chef Thomas Chen is the one to thank for the fabulous Tuome. It's an Asian-inspired menu, which is no surprise as the chef is a master of weaving together ingredients to delicious and surprising effect. The intimate space is outfitted with a backlit bar, bay windows, and comfortable purple seats. Service is fittingly unfussy yet deeply knowledgeable. Don’t miss the seared octopus served atop pork XO sauce or the lamb chops, served perfectly medium rare and finished with a shishito chimichurri, black pepper jus, and a dollop of onion soubise. Finally, deep-fried buns which arrive as Chinese “beignets” accompanied by vanilla ice cream laced with red bean paste, goat's milk caramel, and yuzu marmalade render dessert wholly unmissable.","['classic', 'train', 'chef', 'thoma', 'chen', 'one', 'thank', 'fabul', 'tuom', 'asianinspir', 'menu', 'which', 'surpris', 'chef', 'master', 'weav', 'togeth', 'ingredi', 'surpris', 'effect', 'intim', 'space', 'outfit', 'backlit', 'bar', 'bay', 'window', 'comfort', 'purpl', 'seat', 'servic', 'fittingli', 'unfussi', 'yet', 'deepli', 'knowledg', 'dont', 'miss', 'sear', 'octopu', 'serv', 'atop', 'pork', 'sauc', 'lamb', 'chop', 'serv', 'perfectli', 'medium', 'rare', 'finish', 'shishito', 'chimichurri', 'black', 'pepper', 'ju', 'dollop', 'onion', 'soubis', 'final', 'deepfri', 'bun', 'which', 'arriv', 'chines', 'beignet', 'accompani', 'vanilla', 'ice', 'cream', 'lace', 'red', 'bean', 'past', 'goat', 'milk', 'caramel', 'yuzu', 'marmalad', 'render', 'dessert', 'wholli', 'unmiss']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
59,Bar Miller,40.724018,-73.980635,"620 E. 6th St., New York, 10009, USA",4,"Japanese, Sushi",1,"From the team behind Rosella, this diminutive spot with a sprinkling of seats steers clear of the familiar minimalist design, favoring bold colors and eye-catching details (note the custom pottery displayed behind the counter).","['team', 'behind', 'rosella', 'diminut', 'spot', 'sprinkl', 'seat', 'steer', 'clear', 'familiar', 'minimalist', 'design', 'favor', 'bold', 'color', 'eyecatch', 'detail', 'note', 'custom', 'potteri', 'display', 'behind', 'counter']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
60,Tsukimi,40.729016,-73.985251,"288 E. 10th St., New York, 10003, USA",4,"Japanese, Seasonal Cuisine",1,"""Simplicity is the peak of elegance"" seems a fitting adage for this stunning kaiseki counter. In Japanese, ""tsukimi"" means moon viewing (a harvest festival honoring the moon at its fullest and brightest); and following the moniker quite literally is a central motif of the moon. Illuminated shelves of ceramics and mirrored panels reinforce this light-bright aesthetic. Service is seamless and unaffected, enhancing the overall experience.","['simplic', 'peak', 'eleg', 'seem', 'fit', 'adag', 'stun', 'kaiseki', 'counter', 'japanes', 'tsukimi', 'mean', 'moon', 'view', 'harvest', 'festiv', 'honor', 'moon', 'fullest', 'brightest', 'follow', 'monik', 'quit', 'liter', 'central', 'motif', 'moon', 'illumin', 'shelv', 'ceram', 'mirror', 'panel', 'reinforc', 'lightbright', 'aesthet', 'servic', 'seamless', 'unaffect', 'enhanc', 'overal', 'experi']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
61,Semma,40.736059,-74.000673,"60 Greenwich Ave., New York, 10011, USA",3,"Indian, Regional Cuisine",1,"Chef Vijay Kumar runs the show at Semma, where regional south Indian cuisine is on full display. This is authentic Indian cooking that doesn't pander to American expectations, and if some of the dishes are unfamiliar, lean on the staff who know their stuff and are eager to share. ","['chef', 'vijay', 'kumar', 'run', 'show', 'semma', 'where', 'region', 'south', 'indian', 'cuisin', 'full', 'display', 'indian', 'cook', 'doesnt', 'pander', 'american', 'expect', 'some', 'dish', 'unfamiliar', 'lean', 'staff', 'who', 'know', 'stuff', 'eager', 'share']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
62,Kosaka,40.738316,-74.00137,"220 W. 13th St., New York, 10011, USA",4,"Japanese, Sushi",1,"Chef Yoshihiko Kousaka is in control of this beloved sushiya, which offers a stellar omakase in an elegant setting. The dining room flaunts a classic Japanese sensibility—outfitted with a counter for 12, a few tables, soft piano music, as well as an attentive staff that enhance the overall experience.","['chef', 'yoshihiko', 'kousaka', 'control', 'belov', 'sushiya', 'which', 'offer', 'stellar', 'omakas', 'set', 'dine', 'room', 'flaunt', 'classic', 'japanes', 'sensibilityoutfit', 'counter', 'few', 'tabl', 'soft', 'piano', 'music', 'well', 'attent', 'staff', 'enhanc', 'overal', 'experi']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
63,Casa Mono,40.735895,-73.987342,"52 Irving Pl., New York, 10003, USA",3,"Spanish, Contemporary",1,"There’s something reassuring about a kitchen that gets in whole beasts and does its own butchery—you just know it understands the essence of what good cooking is all about. Here at the small but perfectly formed Casa Mono, dishes are none of those one-bite wonders that blight so many places these days. Nor do they arrive in a stampede at your table. Instead, they are sent out in a sensible order, for the benefit of the diner rather than the convenience of the kitchen.","['there', 'someth', 'reassur', 'about', 'kitchen', 'get', 'whole', 'beast', 'doe', 'own', 'butcheryy', 'know', 'understand', 'essenc', 'what', 'cook', 'about', 'here', 'small', 'but', 'perfectli', 'form', 'casa', 'mono', 'dish', 'none', 'those', 'onebit', 'wonder', 'blight', 'mani', 'place', 'these', 'day', 'nor', 'arriv', 'stamped', 'tabl', 'instead', 'sent', 'out', 'sensibl', 'order', 'benefit', 'diner', 'rather', 'than', 'conveni', 'kitchen']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
64,bōm,40.739618,-73.99245,"17 W. 19th St., New York, 10011, USA",4,"Korean, Contemporary",1,"This modern counter tucked behind sister restaurant Oiji Mi showcases contemporary Korean fare with a focus on wagyu beef. The space itself is a stunner with soaring ceilings, sharply dressed servers, and a spacious marble counter that has built-in barbecue grills. These grills quietly work throughout the evening, searing off premium cuts such as tenderloin, short rib, and ribeye that are kept in a dry-aging chamber in full view of the dining room. But know that there is more at play here than just beef. The likes of uni, caviar, truffles, and crab make appearances, and the kitchen has no qualms about stacking such luxury on top of one another. Recent highlights include a croustade of baesuk, jujube, and tofu as well as bone broth with radish.","['counter', 'tuck', 'behind', 'sister', 'restaur', 'oiji', 'showcas', 'contemporari', 'korean', 'fare', 'focu', 'wagyu', 'beef', 'space', 'itself', 'stunner', 'soar', 'ceil', 'sharpli', 'dress', 'server', 'spaciou', 'marbl', 'counter', 'builtin', 'barbecu', 'grill', 'these', 'grill', 'quietli', 'work', 'throughout', 'even', 'sear', 'off', 'premium', 'cut', 'tenderloin', 'short', 'rib', 'ribey', 'kept', 'dryag', 'chamber', 'full', 'view', 'dine', 'room', 'but', 'know', 'there', 'more', 'play', 'here', 'than', 'beef', 'like', 'uni', 'caviar', 'truffl', 'crab', 'make', 'appear', 'kitchen', 'qualm', 'about', 'stack', 'top', 'one', 'anoth', 'recent', 'highlight', 'includ', 'croustad', 'baesuk', 'jujub', 'tofu', 'well', 'bone', 'broth', 'radish']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
65,Oiji Mi,40.739637,-73.992412,"17 W. 19th St., New York, 10011, USA",4,"Korean, Contemporary",1,"Chef Brian Kim and his team serve up very impressive modern Korean cuisine in a sleek space attended to by a fleet of staff. There is a refinement and a more subtle approach to flavors on this five-course prix fixe menu. Standouts include striped jack hwe, finished with a luscious seaweed scallion vinaigrette. Chili lobster ramyun plates tender lobster meat tossed in a vibrant gochujang over springy noodles. Desserts like cheese-stuffed chapssal donuts are a surefire hit.","['chef', 'brian', 'kim', 'hi', 'team', 'serv', 'korean', 'cuisin', 'sleek', 'space', 'attend', 'fleet', 'staff', 'there', 'refin', 'more', 'subtl', 'approach', 'flavor', 'fivecours', 'prix', 'fix', 'menu', 'standout', 'includ', 'stripe', 'jack', 'hwe', 'finish', 'lusciou', 'seawe', 'scallion', 'vinaigrett', 'chili', 'lobster', 'ramyun', 'plate', 'tender', 'lobster', 'meat', 'toss', 'vibrant', 'gochujang', 'over', 'springi', 'noodl', 'dessert', 'like', 'cheesestuf', 'chapssal', 'donut', 'surefir', 'hit']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
66,Gramercy Tavern,40.738758,-73.988991,"42 E. 20th St., New York, 10003, USA",4,"Contemporary, American",1,"This fabled NY icon is high on most people's roll call. It's one of those places that manages the rare trick of being so confident in its abilities and can be all things to all diners. You’ll probably leave happy whether you’re here on a date, to impress the in-laws or seal a deal. The “Tavern” side is a prized spot for lunch, especially if you can sit at the bar. It doesn't take reservations so get here early. The “Dining Room” though is for those who like a little more pomp with their pappardelle and truly comes to life at night. Service is attentive throughout.","['fabl', 'icon', 'most', 'peopl', 'roll', 'call', 'one', 'those', 'place', 'manag', 'rare', 'trick', 'be', 'confid', 'abil', 'can', 'thing', 'diner', 'youll', 'probabl', 'leav', 'happi', 'whether', 'your', 'here', 'date', 'impress', 'inlaw', 'seal', 'deal', 'tavern', 'side', 'prize', 'spot', 'lunch', 'especi', 'can', 'sit', 'bar', 'doesnt', 'take', 'reserv', 'get', 'here', 'earli', 'dine', 'room', 'though', 'those', 'who', 'like', 'littl', 'more', 'pomp', 'pappardel', 'truli', 'come', 'life', 'night', 'servic', 'attent', 'throughout']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
67,Rezdôra,40.739005,-73.989009,"27 E. 20th St., New York, 10003, USA",4,"Italian, Regional Cuisine",1,"If you’ve been lucky enough to sample the ethereal cuisine of Emilia-Romagna, you’re in for a treat at Chef Stefano Secchi's cherished osteria. Nestled into a well-designed space in the Flatiron District, this cheerful spot brings the Italian region’s signature cuisine stateside.","['youv', 'lucki', 'enough', 'sampl', 'ether', 'cuisin', 'emiliaromagna', 'your', 'treat', 'chef', 'stefano', 'secchi', 'cherish', 'osteria', 'nestl', 'welldesign', 'space', 'flatiron', 'district', 'cheer', 'spot', 'bring', 'italian', 'region', 'signatur', 'cuisin', 'statesid']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
68,Noda,40.740454,-73.99308,"37 W. 20th St., New York, 10001, USA",4,"Japanese, Sushi",1,"Chef Shigeyuki Tsunoda's iconic eight-seat half-moon shaped counter is fronted by the team's cocktail den, Shinji. Throughout this arena, the signature speak-easy vibe is a distinct element and the dark cozy space with exposed brick walls is a prized spot for some excellent sushi enhanced by an impressive beverage program with vintage champagne and a comprehensive sake collection showcasing rare bottles not found elsewhere. Chef Shigeyuki Tsunoda undertakes his duties with calm, unhurried efficiency and his omakase is rooted in tradition. Confident knife cuts, warmed rice and pristine fish are par for the course. The meal begins with small snacks before progressing into the pristine nigiri, where the standouts, among many, are sea eel and two kinds of uni.","['chef', 'shigeyuki', 'tsunoda', 'icon', 'eightseat', 'halfmoon', 'shape', 'counter', 'front', 'team', 'cocktail', 'den', 'shinji', 'throughout', 'arena', 'signatur', 'speakeasi', 'vibe', 'distinct', 'element', 'dark', 'space', 'expos', 'brick', 'wall', 'prize', 'spot', 'some', 'sushi', 'enhanc', 'beverag', 'program', 'vintag', 'champagn', 'comprehens', 'sake', 'collect', 'showcas', 'rare', 'bottl', 'not', 'found', 'elsewher', 'chef', 'shigeyuki', 'tsunoda', 'undertak', 'hi', 'duti', 'calm', 'unhurri', 'effici', 'hi', 'omakas', 'root', 'tradit', 'confid', 'knife', 'cut', 'warm', 'rice', 'pristin', 'fish', 'par', 'cours', 'meal', 'begin', 'small', 'snack', 'befor', 'progress', 'pristin', 'nigiri', 'where', 'standout', 'among', 'mani', 'sea', 'eel', 'two', 'kind', 'uni']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
